"","year","plant_name","operator_name","county_fips","county_name","latitude","longitude","fuel_type","capacity_factor","nameplate_capacity","annual_net_generation","coastal"
"1",2000,"A VON ROSENBERG","San Antonio Public Service Bd","29","BEXAR","29.4332","-98.4635","gas",0.4519,549.63,2176014,FALSE
"2",2000,"ABBOTT TP 3","Guadalupe Blanco River Auth","187","GUADALUPE","29.6175","-97.9721","hydro",0.3091,2.8,7582,FALSE
"3",2000,"ABILENE","AEP NUGs","441","TAYLOR","32.3","-99.89","gas",0.0729,15,9573,FALSE
"4",2000,"AES DEEPWATER INC","AES NUGs","201","HARRIS","29.8336","-95.4383","other",0.7707,184,1242208.6,FALSE
"5",2000,"AMISTAD DAM & POWER","International Bound & Wtr Comm","465","VAL VERDE","29.7652","-101.2299","hydro",0.1488,66,86024,FALSE
"6",2000,"AUSTIN","Lower Colorado River Authority","453","TRAVIS","30.3241","-97.7711","hydro",0.1965,16.136,27773,FALSE
"7",2000,"AUSTIN STATE HOSPITAL","Austin State Hospital","453","TRAVIS","30.3241","-97.7711","gas",0.7855,1,6881.3,FALSE
"8",2000,"BARNEY M DAVIS","AEP NUGs","355","NUECES","27.6064","-97.3117","gas",0.6096,647.143,3455934,FALSE
"9",2000,"BAYLOR UNIVERSITY COGENERATION","Aramark Corp","309","MCLENNAN","31.5536","-97.2029","gas",0.7205,3.447,21754.8,FALSE
"10",2000,"BAYOU COGENERATION PLANT","Air Liquide America Corp","201","HARRIS","29.8336","-95.4383","gas",0.9761,300,2565154.9,FALSE
"11",2000,"BAYTOWN TURBINE GENERATOR PROJECT","Exxon Mobil","201","HARRIS","29.8336","-95.4383","gas",0.8039,212,1492995.7,FALSE
"12",2000,"BENEDUM PLANT","Western Gas Resources","461","UPTON","31.3656","-102.0461","gas",0.2639,2,4623.6,FALSE
"13",2000,"BIG BROWN","TXU Generation LLC","161","FREESTONE","31.8206","-96.0547","coal",0.8219,1186.8,8544983,FALSE
"14",2000,"BIG SPRING TEXAS REFINERY","Fina Oil Chemical Co","227","HOWARD","32.3059","-101.4342","gas",0.9336,1.5,12266.9,FALSE
"15",2000,"BIG SPRING WIND POWER FACILITY","New World Power TX Ren Elec LP","227","HOWARD","32.3059","-101.4342","wind",0.3332,34.32,100185,FALSE
"16",2000,"BP CHEMICALS GREEN LAKE PLANT","BP Amoco","57","CALHOUN","28.3954","-96.6261","gas",0.6315,38.8,214635.4,FALSE
"17",2000,"BRIDGEPORT GAS PROCESSING PLANT","Mitchell Gas Services LP","497","WISE","33.2125","-97.6518","gas",0.5969,1.52,7947.8,FALSE
"18",2000,"BRYAN","Bryan City of","41","BRAZOS","30.6442","-96.3725","gas",0.0847,138,102344,FALSE
"19",2000,"BUCHANAN","Lower Colorado River Authority","53","BURNET","30.7304","-98.1415","hydro",0.0637,47.85,26710,FALSE
"20",2000,"C E NEWMAN","Garland City of","113","DALLAS","32.9125","-96.6228","gas",0.0616,96.5,52097,FALSE
"21",2000,"C R WING COGENERATION PLANT","CalEnergy Co Inc","227","HOWARD","32.3059","-101.4342","gas",0.6773,230.08,1365112.6,FALSE
"22",2000,"CANYON","Guadalupe Blanco River Auth","91","COMAL","29.816","-98.3222","hydro",0.1437,6,7555,FALSE
"23",2000,"CEDAR BAYOU","Texas Genco","71","CHAMBERS","29.75","-94.9256","gas",0.4079,2295,8201319,FALSE
"24",2000,"CELANESE ENGINEERING RESIN INC","Celanese Engineering Resin Inc","355","NUECES","27.777","-97.4878","gas",0.7445,43.74,285266.9,FALSE
"25",2000,"CENTRAL UTILITY PLANT","Minnesota Mining & Mfg Co","453","TRAVIS","30.3241","-97.7711","gas",0.2534,14.46,32098.6,FALSE
